hour,G1,G1_heat,G2,G2_heat,G3,G3_heat,G4,G4_heat,G5,G5_heat,G6,G6_heat,G7,G8,a,b,a_charge,b_charge,a_discharge,b_discharge,Wind_Power
0,166.66666666666663,222.22222222222217,291.66666666666663,388.88888888888886,291.66666666666663,388.88888888888886,250.0,333.3333333333333,250.0,333.3333333333333,250.0,333.3333333333333,80.0,295.0000000000001,333.04189948023236,473.59570368648394,100.0,100.0,0.0,0.0,255.0
1,166.66666666666663,222.22222222222217,291.66666666666663,388.88888888888886,291.66666666666663,388.88888888888886,250.0,333.3333333333333,250.0,333.3333333333333,250.0,333.3333333333333,88.99521531100466,386.00478468899547,433.04189948023236,573.595703686484,100.0,100.0,0.0,0.0,233.0
2,166.66666666666663,222.22222222222217,291.66666666666663,388.88888888888886,291.66666666666663,388.88888888888886,250.0,333.3333333333333,250.0,333.3333333333333,250.0,333.3333333333333,112.08612440191375,489.91387559808635,533.0418994802324,673.595703686484,100.0,100.0,0.0,0.0,194.0
3,166.66666666666669,222.22222222222217,291.66666666666663,388.88888888888886,291.66666666666663,388.88888888888886,250.0,333.3333333333333,250.0,333.3333333333333,250.0,333.3333333333333,130.0,438.00000000000006,633.0418994802324,773.595703686484,100.0,100.0,0.0,0.0,186.0
4,116.66666666666669,155.55555555555557,268.33907123050886,357.78542830734517,268.33907123050886,357.78542830734517,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,80.0,308.00000000000006,733.0418994802324,873.595703686484,0.0,0.0,28.87358782975407,73.41164815030572,450.7139269850448
5,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,80.0,200.0,704.1683116504782,800.1840555361782,0.0,0.0,51.09581005197629,73.41164815030629,603.3805936517115
6,100.0,133.33333333333334,278.1241938324929,370.8322584433239,278.1241938324929,370.8322584433239,215.9172041116714,287.88960548222855,215.9172041116714,287.88960548222855,215.9172041116714,287.88960548222855,80.0,200.0,653.0725015985017,726.7724073858719,0.0,0.0,25.002149780018954,36.331183553314304,678.0
7,116.66666666666669,155.55555555555557,276.74738223828984,368.99650965105315,276.74738223828984,368.99650965105315,214.61285628558454,286.15047504744604,214.61285628558454,286.15047504744604,214.61285628558454,286.15047504744604,80.0,209.00000000000006,628.070351818483,690.4412238325576,0.0,0.0,6.4514251423381666,41.54857485766183,797.0
8,166.66666666666669,222.22222222222217,291.66666666666663,388.88888888888886,291.66666666666663,388.88888888888886,250.0,333.3333333333333,250.0,333.3333333333333,250.0,333.3333333333333,130.0,339.00000000000006,621.6189266761448,648.8926489748958,100.0,100.0,0.0,0.0,381.00000000000017
9,166.66666666666663,222.22222222222217,291.66666666666663,388.88888888888886,291.66666666666663,388.88888888888886,250.0,333.3333333333333,250.0,333.3333333333333,250.0,333.3333333333333,80.0,221.0000000000001,721.6189266761448,748.8926489748958,100.0,100.0,0.0,0.0,381.0
10,164.57289395336082,219.43052527114776,291.6666666666667,388.88888888888886,291.6666666666667,388.88888888888886,250.0,333.3333333333333,250.0,333.3333333333333,250.0,333.3333333333333,80.0,265.09377271330584,821.6189266761448,848.8926489748958,97.20830304892559,100.0,0.0,0.0,255.0
11,114.57289395336082,152.7638586044811,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,80.0,200.0,918.8272297250704,948.8926489748958,0.0,0.0,31.665284780828443,73.41164815030584,486.8076996983507
12,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,206.64708796242383,275.5294506165651,206.64708796242383,275.5294506165651,206.64708796242383,275.5294506165651,80.0,200.0,887.161944944242,875.48100082459,0.0,0.0,51.09581005197629,73.4116481503047,378.3805936517107
13,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,80.0,200.0,836.0661348922657,802.0693526742853,0.0,0.0,51.09581005197629,73.41164815030572,323.3805936517115
14,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,80.0,200.0,784.9703248402892,728.6577045239795,0.0,0.0,51.09581005197629,73.4116481503059,263.3805936517115
15,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,80.0,200.0,733.8745147883129,655.2460563736736,0.0,0.0,51.09581005197629,73.4116481503059,245.38059365171148
16,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,225.0,300.0,225.0,300.0,225.0,300.0,80.0,200.0,682.7787047363366,581.8344082233677,0.0,0.0,51.09581005197629,0.0,110.32185753898216
17,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,80.0,200.0,631.6828946843821,581.8344082233677,0.0,0.0,51.09581005197629,73.4116481503059,159.38059365171148
18,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,225.0,300.0,225.0,300.0,225.0,300.0,80.0,200.0,580.5870846324058,508.42276007306185,0.0,0.0,51.09581005197629,0.0,102.32185753898216
19,100.0,133.33333333333334,268.33907123050886,357.78542830734517,268.33907123050886,357.78542830734517,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,80.0,200.0,529.4912745804295,508.42276007306185,0.0,0.0,51.09581005197636,73.4116481503059,179.3805936517116
20,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,206.6470879624231,275.52945061656413,206.6470879624231,275.52945061656413,206.6470879624231,275.52945061656413,80.0,200.0,478.3954645284525,435.01111192275596,0.0,0.0,51.09581005197629,73.41164815030731,233.38059365171284
21,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,80.0,200.0,427.29965447647623,361.59946377244864,0.0,0.0,51.09581005197629,73.4116481503059,255.38059365171148
22,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,225.0,300.0,225.0,300.0,225.0,300.0,80.0,200.0,376.20384442449995,288.18781562214275,0.0,0.0,51.09581005197629,0.0,272.32185753898216
23,100.0,133.33333333333334,291.66666666666663,388.88888888888886,291.66666666666663,388.88888888888886,240.22222222222226,320.2962962962963,240.22222222222226,320.2962962962963,240.22222222222226,320.2962962962963,80.0,200.0,325.1080343725249,288.18781562214275,11.111111111111086,60.888888888888914,0.0,0.0,262.0
